MaxTenuringThreshold,ParallelGCThreads,MaxHeapSize,fullGCPause,avgPause,fullGcPauseCount,footprint,gcPerformance,totalTenuredUsedMax,avgPromotion,fullGCPerformance,throughput
16,4,8,3388.0,-83149.0,0.0425,5.0,0.39,1508.0,99.72,16131.271,5265.147
16,24,32,4804.0,133.8,0.04634,5.0,0.41,1508.0,99.7,13739.828,9929.023
7,4,16,3357.0,-137626.0,0.03679,5.0,0.34,1508.0,99.76,19907.693,6044.293
16,20,8,3374.0,-211149.0,0.04668,5.0,0.42,1508.0,99.7,13280.363,4844.058
4,24,8,3380.0,-119398.0,0.04653,5.0,0.42,1508.0,99.69,11658.921,4925.563
16,12,32,4777.0,-290611.0,0.04323,5.0,0.39,1508.0,99.72,17042.264,7849.249
13,12,4,3374.0,-238592.0,0.04664,5.0,0.42,1508.0,99.7,13507.513,4834.51
7,24,2,3392.0,-29286.0,0.04599,5.0,0.41,1508.0,99.69,10855.224,4996.584
16,4,2,3411.0,80.2,0.05502,5.0,0.51,1508.0,99.17,13605.104,4016.702
4,8,8,3411.0,-58368.0,0.04423,5.0,0.4,1508.0,99.7,15447.992,5063.842
7,4,4,3411.0,136.6,0.03932,5.0,0.36,1508.0,99.45,17229.518,5668.969
10,24,4,3355.0,-268288.0,0.04571,5.0,0.4,1508.0,99.7,10903.601,5075.853
4,12,32,4804.0,-143360.0,0.04349,5.0,0.39,1508.0,99.7,17202.693,7781.746
1,20,2,3374.0,-38093.0,0.05184,5.0,0.46,1508.0,99.58,10447.381,4419.041
16,8,2,3355.0,40.2,0.04136,5.0,0.38,1508.0,99.72,18188.695,5363.011
16,12,2,3374.0,86.6,0.03405,5.0,0.3,1508.0,99.58,14675.742,6804.235
4,4,16,3355.0,-47309.0,0.04117,5.0,0.38,1508.0,99.72,16261.745,5450.229
7,24,8,3354.0,-182682.0,0.04781,5.0,0.43,1508.0,99.68,12824.166,4735.961
16,24,2,3355.0,-113254.0,0.03955,5.0,0.35,1508.0,99.7,12945.056,5836.304
4,24,2,3404.0,-247603.0,0.04692,5.0,0.42,1508.0,99.69,10911.329,4928.029
